A000;Còlera causat per Vibrio cholerae [vibrió del còlera] 01, biotip cholerae
A001;Còlera causat per Vibrio cholerae [vibrió del còlera] 01, biotip eltor
A009;Còlera no especificat
A010;Febre tifoide
A011;Febre paratifoide A
A012;Febre paratifoide B
A013;Febre paratifoide C
A014;Febre paratifoide no especificada
A020;Enteritis per salmonel·les
A021;Septicèmia per salmonel·les
A022;Infeccions localitzades per salmonel·les
A028;Altres infeccions especificades per salmonel·les
A029;Infecció no especificada per salmonel·les
A030;Shigel·losi causada per Shigella dysenteriae
A031;Shigel·losi causada per Shigella flexneri
A032;Shigel·losi causada per Shigella boydii
A033;Shigel·losi causada per Shigella sonnei
A038;Altres shigel·losis
A039;Shigel·losi no especificada
A040;Infecció per Escherichia coli enteropatogen
A041;Infecció per Escherichia coli enterotoxigen
A042;Infecció per Escherichia coli enteroinvasiu
A043;Infecció per Escherichia coli enterohemorràgic
A044;Altres infeccions intestinals per Escherichia coli
A045;Enteritis per Campylobacter
A046;Enteritis causada per Yersinia enterocolitica
A047;Enterocolitis causada per Clostridium difficile
A048;Altres infeccions intestinals bacterianes especificades
A049;Infecció intestinal bacteriana no especificada
A050;Toxiinfecció alimentària estafilocòccica
A051;Botulisme
A052;Toxiinfecció alimentària per Clostridium perfringens [Clostridium welchii]
A053;Toxiinfecció alimentària per Vibrio parahaemolyticus
A054;Toxiinfecció alimentària per Bacillus cereus
A058;Altres toxiinfeccions alimentàries bacterianes especificades
A059;Toxiinfecció alimentària bacteriana no especificada
A060;Disenteria amèbica aguda
A061;Amebosi intestinal crònica
A062;Colitis amèbica no disentèrica
A063;Ameboma d'intestí
A064;Abscés amèbic hepàtic
A065;Abscés amèbic pulmonar (J99.8**)
A066;Abscés amèbic encefàlic (G07**)
A067;Amebosi cutània
A068;Infecció amèbica d'altres localitzacions
A069;Amebosi no especificada
A070;Balantidiosi
A071;Giardiosi [lambliosi]
A072;Criptosporidiosi
A073;Isosporosi
A078;Altres malalties intestinals protozoàries especificades
A079;Malaltia intestinal protozoària no especificada
A080;Enteritis per rotavirus
A081;Gastroenteropatia aguda produïda pel virus de Norwalk
A082;Enteritis per adenovirus
A083;Altres enteritis víriques
A084;Infecció intestinal vírica no especificada
A085;Altres infeccions intestinals especificades
